[01:46:03 2015-04-21] [INFOM] {src/socks5/socks5.c:168} socks5 starting ...
[01:46:07 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [11].
[01:46:12 2015-04-21] [ERROR] {src/socks5/socks5.c:475} connect error.
[01:46:12 2015-04-21] [ERROR] {src/socks5/socks5.c:537} auth error.
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
[01:46:26 2015-04-21] [ERROR] {src/socks5/socks5.c:589} read error [0].
